id,title,Director
861,Total Recall,Paul Verhoeven
1911,The 13th Warrior,John McTiernan
49040,The Bourne Legacy,Tony Gilroy
415,Batman & Robin,Joel Schumacher
8871,How the Grinch Stole Christmas,Ron Howard
435,The Day After Tomorrow,Roland Emmerich
955,Mission: Impossible II,John Woo
2133,The Perfect Storm,Wolfgang Petersen
1979,Fantastic 4: Rise of the Silver Surfer,Tim Story
87827,Life of Pi,Ang Lee
1250,Ghost Rider,Mark Steven Johnson
324668,Jason Bourne,Paul Greengrass
9471,Charlie's Angels: Full Throttle,McG
70981,Prometheus,Ridley Scott
10996,Stuart Little 2,Rob Minkoff
68724,Elysium,Neill Blomkamp
2789,The Chronicles of Riddick,David Twohy
97020,RoboCop,José Padilha
7459,Speed Racer,Lilly Wachowski
42888,How Do You Know,James L. Brooks
37834,Knight and Day,James Mangold
75612,Oblivion,Joseph Kosinski
1895,Star Wars: Episode III - Revenge of the Sith,George Lucas
1894,Star Wars: Episode II - Attack of the Clones,George Lucas
585,"Monsters, Inc.",Pete Docter
76170,The Wolverine,James Mangold
1893,Star Wars: Episode I - The Phantom Menace,George Lucas
49519,The Croods,Chris Sanders
2395,Asterix at the Olympic Games,Thomas Langmann
12100,Windtalkers,John Woo
290595,The Huntsman: Winter's War,Cedric Nicolas-Troyan
98566,Teenage Mutant Ninja Turtles,Jonathan Liebesman
49047,Gravity,Alfonso Cuarón
9619,Dante's Peak,Roger Donaldson
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green
166424,Fantastic Four,Josh Trank
1593,Night at the Museum,Shawn Levy
254128,San Andreas,Brad Peyton
714,Tomorrow Never Dies,Roger Spottiswoode
2024,The Patriot,Roland Emmerich
163,Ocean's Twelve,Steven Soderbergh
787,Mr. & Mrs. Smith,Doug Liman
262500,Insurgent,Robert Schwentke
2567,The Aviator,Martin Scorsese
38745,Gulliver's Travels,Rob Letterman
40805,The Green Hornet,Michel Gondry
53182,300: Rise of an Empire,Noam Murro
41513,The Smurfs,Raja Gosnell
13700,Home on the Range,Will Finn
262504,Allegiant,Robert Schwentke
39254,Real Steel,Shawn Levy
77931,The Smurfs 2,Raja Gosnell
1639,Speed 2: Cruise Control,Jan de Bont
80274,Ender's Game,Gavin Hood
1571,Live Free or Die Hard,Len Wiseman
120,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
10204,Around the World in 80 Days,Frank Coraci
8489,Ali,Michael Mann
10588,The Cat in the Hat,Bo Welch
2048,"I, Robot",Alex Proyas
1495,Kingdom of Heaven,Ridley Scott
10137,Stuart Little,Rob Minkoff
10198,The Princess and the Frog,Ron Clements
286217,The Martian,Ridley Scott
1635,The Island,Michael Bay
24113,Town & Country,Peter Chelsom
9679,Gone in Sixty Seconds,Dominic Sena
98,Gladiator,Ridley Scott
180,Minority Report,Steven Spielberg
672,Harry Potter and the Chamber of Secrets,Chris Columbus
36557,Casino Royale,Martin Campbell
869,Planet of the Apes,Tim Burton
280,Terminator 2: Judgment Day,James Cameron
11322,Public Enemies,Michael Mann
4982,American Gangster,Ridley Scott
36955,True Lies,James Cameron
18487,The Taking of Pelham 1 2 3,Tony Scott
39451,Little Fockers,Paul Weitz
27581,The Other Guys,Adam McKay
9268,Eraser,Chuck Russell
68718,Django Unchained,Quentin Tarantino
10545,The Hunchback of Notre Dame,Gary Trousdale
11688,The Emperor's New Groove,Mark Dindal
76163,The Expendables 2,Simon West
2059,National Treasure,Jon Turteltaub
2486,Eragon,Stefen Fangmeier
16523,Where the Wild Things Are,Spike Jonze
116711,Epic,Chris Wedge
37710,The Tourist,Florian Henckel von Donnersmarck
9946,End of Days,Peter Hyams
1372,Blood Diamond,Edward Zwick
106646,The Wolf of Wall Street,Martin Scorsese
414,Batman Forever,Joel Schumacher
563,Starship Troopers,Paul Verhoeven
83542,Cloud Atlas,Tom Tykwer
41216,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder
314,Catwoman,Pitof
184315,Hercules,Brett Ratner
9016,Treasure Planet,Ron Clements
18162,Land of the Lost,Brad Silberling
138103,The Expendables 3,Patrick Hughes
257088,Point Break,Ericson Core
10214,Son of the Mask,Lawrence Guterman
205775,In the Heart of the Sea,Ron Howard
11692,The Adventures of Pluto Nash,Ron Underwood
22972,Green Zone,Paul Greengrass
227973,The Peanuts Movie,Steve Martino
29193,The Spanish Prisoner,David Mamet
1734,The Mummy Returns,Stephen Sommers
3131,Gangs of New York,Martin Scorsese
76758,The Flowers of War,Zhang Yimou
9408,Surf's Up,Ash Brannon
9890,The Stepford Wives,Frank Oz
855,Black Hawk Down,Ridley Scott
77953,The Campaign,Jay Roach
18,The Fifth Element,Luc Besson
37786,Sex and the City 2,Michael Patrick King
10501,The Road to El Dorado,Don Michael Paul
57800,Ice Age: Continental Drift,Steve Martino
150689,Cinderella,Kenneth Branagh
7980,The Lovely Bones,Peter Jackson
12,Finding Nemo,Andrew Stanton
122,The Lord of the Rings: The Return of the King,Peter Jackson
121,The Lord of the Rings: The Two Towers,Peter Jackson
68737,Seventh Son,Sergei Bodrov
1995,Lara Croft: Tomb Raider,Simon West
157353,Transcendence,Wally Pfister
331,Jurassic Park III,Joe Johnston
61791,Rise of the Planet of the Apes,Rupert Wyatt
8204,The Spiderwick Chronicles,Mark Waters
47964,A Good Day to Die Hard,John Moore
10733,The Alamo,John Lee Hancock
9806,The Incredibles,Brad Bird
1408,Cutthroat Island,Renny Harlin
32657,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus
607,Men in Black,Barry Sonnenfeld
863,Toy Story 2,John Lasseter
44048,Unstoppable,Tony Scott
5175,Rush Hour 2,Brett Ratner
2655,What Lies Beneath,Robert Zemeckis
22794,Cloudy with a Chance of Meatballs,Phil Lord
8355,Ice Age: Dawn of the Dinosaurs,Carlos Saldanha
116745,The Secret Life of Walter Mitty,Ben Stiller
4327,Charlie's Angels,McG
1422,The Departed,Martin Scorsese
10674,Mulan,Tony Bancroft
7446,Tropic Thunder,Ben Stiller
65754,The Girl with the Dragon Tattoo,David Fincher
1572,Die Hard: With a Vengeance,John McTiernan
10528,Sherlock Holmes,Guy Ritchie
271969,Ben-Hur,Timur Bekmambetov
10865,Atlantis: The Lost Empire,Gary Trousdale
258509,Alvin and the Chipmunks: The Road Chip,Walt Becker
2253,Valkyrie,Bryan Singer
10661,You Don't Mess with the Zohan,Dennis Dugan
257344,Pixels,Chris Columbus
644,A.I. Artificial Intelligence,Steven Spielberg
10756,The Haunted Mansion,Rob Minkoff
686,Contact,Robert Zemeckis
9383,Hollow Man,Paul Verhoeven
179,The Interpreter,Sydney Pollack
76285,Percy Jackson: Sea of Monsters,Thor Freudenthal
1996,Lara Croft Tomb Raider: The Cradle of Life,Jan de Bont
291805,Now You See Me 2,Jon M. Chu
10003,The Saint,Phillip Noyce
1535,Spy Game,Tony Scott
2067,Mission to Mars,Brian De Palma
46195,Rio,Carlos Saldanha
2277,Bicentennial Man,Chris Columbus
10357,Volcano,Mick Jackson
4477,The Devil's Own,Alan J. Pakula
8665,K-19: The Widowmaker,Kathryn Bigelow
9387,Conan the Barbarian,John Milius
921,Cinderella Man,Ron Howard
49852,The Nutcracker: The Untold Story,Andrei Konchalovsky
4464,Seabiscuit,Gary Ross
664,Twister,Jan de Bont
8358,Cast Away,Robert Zemeckis
9836,Happy Feet,George Miller
2502,The Bourne Supremacy,Paul Greengrass
9772,Air Force One,Wolfgang Petersen
161,Ocean's Eleven,Steven Soderbergh
52451,The Three Musketeers,Paul W.S. Anderson
76492,Hotel Transylvania,Genndy Tartakovsky
4523,Enchanted,Kevin Lima
59961,Safe House,Daniel Espinosa
10481,102 Dalmatians,Kevin Lima
59108,Tower Heist,Brett Ratner
1581,The Holiday,Nancy Meyers
9798,Enemy of the State,Tony Scott
22897,It's Complicated,Nancy Meyers
298,Ocean's Thirteen,Steven Soderbergh
7484,Open Season,Jill Culton
157350,Divergent,Neil Burger
853,Enemy at the Gates,Jean-Jacques Annaud
10159,The Rundown,Peter Berg
9593,Last Action Hero,John McTiernan
1904,Memoirs of a Geisha,Rob Marshall
9615,The Fast and the Furious: Tokyo Drift,Justin Lin
51052,Arthur Christmas,Barry Cook
297,Meet Joe Black,Martin Brest
9884,Collateral Damage,Andrew Davis
16858,All That Jazz,Bob Fosse
62764,Mirror Mirror,Tarsem Singh
22538,Scott Pilgrim vs. the World,Edgar Wright
9341,The Core,Jon Amiel
12107,Nutty Professor II: The Klumps,Peter Segal
9637,Scooby-Doo,Raja Gosnell
49049,Dredd,Pete Travis
9339,Click,Frank Coraci
16281,Creepshow,George A. Romero
39691,Cats & Dogs 2 : The Revenge of Kitty Galore,Brad Peyton
8247,Jumper,Doug Liman
11253,Hellboy II: The Golden Army,Guillermo del Toro
1949,Zodiac,David Fincher
8452,The 6th Day,Roger Spottiswoode
310,Bruce Almighty,Tom Shadyac
27578,The Expendables,Sylvester Stallone
954,Mission: Impossible,Brian De Palma
70160,The Hunger Games,Gary Ross
45243,The Hangover Part II,Todd Phillips
364,Batman Returns,Tim Burton
7518,Over the Hedge,Karey Kirkpatrick
11544,Lilo & Stitch,Chris Sanders
9986,Charlotte's Web,Gary Winick
8656,Deep Impact,Mimi Leder
146216,RED 2,Dean Parisot
9291,The Longest Yard,Peter Segal
55301,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell
109418,Grown Ups 2,Dennis Dugan
11665,Get Smart,Peter Segal
6964,Something's Gotta Give,Nancy Meyers
11324,Shutter Island,Martin Scorsese
12193,Four Christmases,Seth Gordon
9928,Robots,Chris Wedge
754,Face/Off,John Woo
10202,Bedtime Stories,Adam Shankman
4147,Road to Perdition,Sam Mendes
50546,Just Go with It,Dennis Dugan
1701,Con Air,Simon West
13027,Eagle Eye,D.J. Caruso
2289,Cold Mountain,Anthony Minghella
20504,The Book of Eli,Albert Hughes
9574,Flubber,Les Mayfield
11618,The Haunting,Jan de Bont
2300,Space Jam,Joe Pytka
12096,The Pink Panther,Shawn Levy
10200,The Day the Earth Stood Still,Scott Derrickson
8834,Conspiracy Theory,Richard Donner
228150,Fury,David Ayer
6068,Six Days Seven Nights,Ivan Reitman
41515,Yogi Bear,Eric Brevig
9023,Spirit: Stallion of the Cimarron,Kelly Asbury
38317,Zookeeper,Frank Coraci
2157,Lost in Space,Stephen Hopkins
14462,The Manchurian Candidate,Jonathan Demme
161795,Déjà Vu,Henry Jaglom
159824,Hotel Transylvania 2,Genndy Tartakovsky
49948,Fantasia 2000,James Algar
2135,The Time Machine,Simon Wells
9822,Mighty Joe Young,Ron Underwood
9705,Swordfish,Dominic Sena
1656,The Legend of Zorro,Martin Campbell
12159,What Dreams May Come,Vincent Ward
9678,Little Nicky,Steven Brill
4442,The Brothers Grimm,Terry Gilliam
75,Mars Attacks!,Tim Burton
330770,Evolution,Lucile Hadzihalilovic
9433,The Edge,Lee Tamahori
19959,Surrogates,Jonathan Mostow
11973,Thirteen Days,Roger Donaldson
11228,Daylight,Rob Cohen
77951,Walking With Dinosaurs,Barry Cook
5491,Battlefield Earth,Roger Christian
10715,Looney Tunes: Back in Action,Joe Dante
10197,Nine,Rob Marshall
9562,Timeline,Richard Donner
9922,The Postman,Kevin Costner
9447,Babe: Pig in the City,George Miller
274854,The Last Witch Hunter,Breck Eisner
8870,Red Planet,Antony Hoffman
9992,Arthur and the Invisibles,Luc Besson
36970,Oceans,Jacques Perrin
10077,A Sound of Thunder,Peter Hyams
76649,Pompeii,Paul W.S. Anderson
293644,Top Cat Begins,Andrés Couturier
453,A Beautiful Mind,Ron Howard
8587,The Lion King,Roger Allers
72545,Journey 2: The Mysterious Island,Brad Peyton
109451,Cloudy with a Chance of Meatballs 2,Cody Cameron
9533,Red Dragon,Brett Ratner
2023,Hidalgo,Joe Johnston
71880,Jack and Jill,Dennis Dugan
584,2 Fast 2 Furious,John Singleton
309809,The Little Prince,Mark Osborne
4858,The Invasion,Oliver Hirschbiegel
17711,The Adventures of Rocky & Bullwinkle,Des McAnuff
328111,The Secret Life of Pets,Chris Renaud
8698,The League of Extraordinary Gentlemen,Stephen Norrington
93456,Despicable Me 2,Pierre Coffin
602,Independence Day,Roland Emmerich
330,The Lost World: Jurassic Park,Steven Spielberg
953,Madagascar,Eric Darnell
9693,Children of Men,Alfonso Cuarón
36657,X-Men,Bryan Singer
8909,Wanted,Timur Bekmambetov
9802,The Rock,Michael Bay
950,Ice Age: The Meltdown,Carlos Saldanha
1824,50 First Dates,Peter Segal
2976,Hairspray,Adam Shankman
11026,Exorcist: The Beginning,Renny Harlin
332,Inspector Gadget,David Kellogg
75656,Now You See Me,Louis Leterrier
38365,Grown Ups,Dennis Dugan
594,The Terminal,Steven Spielberg
15189,Hotel for Dogs,Thor Freudenthal
11678,Vertical Limit,Martin Campbell
6538,Charlie Wilson's War,Mike Nichols
10555,Shark Tale,Vicky Jenson
1125,Dreamgirls,Bill Condon
4551,Be Cool,F. Gary Gray
612,Munich,Steven Spielberg
9567,Tears of the Sun,Antoine Fuqua
37821,Killers,Robert Luketic
203801,The Man from U.N.C.L.E.,Guy Ritchie
2539,Spanglish,James L. Brooks
9297,Monster House,Gil Kenan
3172,Bandits,Barry Levinson
6520,First Knight,Jerry Zucker
1439,Anna and the King,Andy Tennant
37958,Immortals,Tarsem Singh
2026,Hostage,Florent-Emilio Siri
7450,Titan A.E.,Gary Goldman
11375,Hollywood Homicide,Ron Shelton
9425,Soldier,Paul W.S. Anderson
25769,Carriers,Àlex Pastor
23685,Monkeybone,Henry Selick
11866,Flight of the Phoenix,John Moore
9741,Unbreakable,M. Night Shyamalan
211672,Minions,Kyle Balda
23629,Sucker Punch,Zack Snyder
8688,Snake Eyes,Brian De Palma
10153,Sphere,Barry Levinson
153518,The Angry Birds Movie,Fergal Reilly
8676,Fool's Gold,Andy Tennant
20829,Funny People,Judd Apatow
4349,The Kingdom,Peter Berg
9718,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay
10808,Dr. Dolittle 2,Steve Carr
197,Braveheart,Mel Gibson
25,Jarhead,Sam Mendes
35,The Simpsons Movie,David Silverman
11086,The Majestic,Frank Darabont
10477,Driven,Renny Harlin
1997,Two Brothers,Jean-Jacques Annaud
6947,The Village,M. Night Shyamalan
3050,Doctor Dolittle,Betty Thomas
2675,Signs,M. Night Shyamalan
809,Shrek 2,Andrew Adamson
920,Cars,John Lasseter
4806,Runaway Bride,Garry Marshall
7451,xXx,Rob Cohen
228165,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt
3595,Ransom,Ron Howard
16869,Inglourious Basterds,Quentin Tarantino
879,Hook,Steven Spielberg
1573,Die Hard 2,Renny Harlin
9257,S.W.A.T.,Clark Johnson
1903,Vanilla Sky,Cameron Crowe
9697,Lady in the Water,M. Night Shyamalan
395,AVP: Alien vs. Predator,Paul W.S. Anderson
23398,Alvin and the Chipmunks: The Squeakquel,Betty Thomas
10590,We Were Soldiers,Randall Wallace
117263,Olympus Has Fallen,Antoine Fuqua
200,Star Trek: Insurrection,Jonathan Frakes
44943,Battle: Los Angeles,Jonathan Liebesman
587,Big Fish,Tim Burton
10395,Wolf,Mike Nichols
57212,War Horse,Steven Spielberg
152760,The Monuments Men,George Clooney
2756,The Abyss,James Cameron
33909,Wall Street: Money Never Sleeps,Oliver Stone
49017,Dracula Untold,Gary Shore
9882,The Siege,Edward Zwick
2270,Stardust,Matthew Vaughn
978,Seven Years in Tibet,Jean-Jacques Annaud
44564,The Dilemma,Ron Howard
3132,Bad Company,Joel Schumacher
8814,Doom,Andrzej Bartkowiak
8427,I Spy,Betty Thomas
52520,Underworld: Awakening,Måns Mårlind
80585,Rock of Ages,Adam Shankman
10592,Hart's War,Gregory Hoblit
49021,Killer Elite,Gary McKendry
11535,Rollerball,John McTiernan
10550,Ballistic: Ecks vs. Sever,Wych Kaosayananda
11258,Hard Rain,Mikael Salomon
12610,Osmosis Jones,Bobby Farrelly
59981,Legends of Oz: Dorothy's Return,Dan St. Pierre
201088,Blackhat,Michael Mann
5137,Sky Captain and the World of Tomorrow,Kerry Conran
3093,Basic Instinct 2,Michael Caton-Jones
107846,Escape Plan,Mikael Håfström
188207,The Legend of Hercules,Renny Harlin
4614,The Sum of All Fears,Phil Alden Robinson
24021,The Twilight Saga: Eclipse,David Slade
11371,The Score,Frank Oz
20352,Despicable Me,Pierre Coffin
11517,Money Train,Joseph Ruben
214756,Ted 2,Seth MacFarlane
26428,Agora,Alejandro Amenábar
9824,Mystery Men,Kinka Usher
48988,Hall Pass,Bobby Farrelly
9008,The Insider,Michael Mann
300673,The Finest Hours,Craig Gillespie
12113,Body of Lies,Ridley Scott
38778,Dinner for Schmucks,Jay Roach
72331,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov
1844,Entrapment,Jon Amiel
846,The X Files,Rob Bowman
9703,The Last Legion,Doug Lefler
857,Saving Private Ryan,Steven Spielberg
136797,Need for Speed,Scott Waugh
3981,What Women Want,Nancy Meyers
425,Ice Age,Chris Wedge
6171,Dreamcatcher,Lawrence Kasdan
72976,Lincoln,Steven Spielberg
603,The Matrix,Lilly Wachowski
568,Apollo 13,Ron Howard
9021,The Santa Clause 2,Michael Lembeck
82695,Les Misérables,Tom Hooper
9489,You've Got Mail,Nora Ephron
12133,Step Brothers,Adam McKay
9342,The Mask of Zorro,Martin Campbell
41733,Due Date,Todd Phillips
227306,Unbroken,Angelina Jolie
5551,Space Cowboys,Clint Eastwood
9350,Cliffhanger,Renny Harlin
9208,Broken Arrow,John Woo
4244,The Kid,Jon Turteltaub
1852,World Trade Center,Oliver Stone
11820,Mona Lisa Smile,Mike Newell
76493,The Dictator,Larry Charles
345,Eyes Wide Shut,Stanley Kubrick
196867,Annie,Will Gluck
256591,Focus,Glenn Ficarra
59962,This Means War,McG
36648,Blade: Trinity,David S. Goyer
1880,Red Dawn,John Milius
9440,Primary Colors,Mike Nichols
71679,Resident Evil: Retribution,Paul W.S. Anderson
10483,Death Race,Paul W.S. Anderson
11412,The Long Kiss Goodnight,Renny Harlin
11983,Proof of Life,Taylor Hackford
6795,Zathura: A Space Adventure,Jon Favreau
550,Fight Club,David Fincher
11170,We Are Marshall,McG
9292,Hudson Hawk,Michael Lehmann
10783,Lucky Numbers,Nora Ephron
100241,"I, Frankenstein",Stuart Beattie
257,Oliver Twist,Roman Polanski
9947,Elektra,Rob Bowman
189,Sin City: A Dame to Kill For,Robert Rodriguez
12618,Random Hearts,Sydney Pollack
253412,Everest,Baltasar Kormákur
1427,Perfume: The Story of a Murderer,Tom Tykwer
818,Austin Powers in Goldmember,Jay Roach
16577,Astro Boy,David Bowers
329,Jurassic Park,Steven Spielberg
12160,Wyatt Earp,Lawrence Kasdan
9331,Clear and Present Danger,Phillip Noyce
300168,Dragon Blade,Daniel Lee
9072,Little Man,Keenen Ivory Wayans
3536,U-571,Jonathan Mostow
9087,The American President,Rob Reiner
12177,The Love Guru,Marco Schnabel
12138,3000 Miles to Graceland,Demian Lichtenstein
273248,The Hateful Eight,Quentin Tarantino
