budget,id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genres
195000000,38356,en,Transformers: Dark of the Moon,28.529607,2011-06-28,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,Action_Science Fiction_Adventure
185000000,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Adventure_Action
175000000,105864,en,The Good Dinosaur,51.692953,2015-11-14,331926147,93.0,The Good Dinosaur,6.6,1736,Adventure_Animation_Family
185000000,62177,en,Brave,125.114374,2012-06-21,538983207,93.0,Brave,6.7,4641,Animation_Adventure_Comedy_Family_Action_Fantasy
185000000,188927,en,Star Trek Beyond,65.352913,2016-07-07,343471816,122.0,Star Trek Beyond,6.6,2568,Action_Adventure_Science Fiction
180000000,10681,en,WALL·E,66.390712,2008-06-22,521311860,98.0,WALL·E,7.8,6296,Animation_Family
140000000,5174,en,Rush Hour 3,22.57178,2007-08-08,258022233,91.0,Rush Hour 3,6.1,783,Action_Comedy_Crime_Thriller
200000000,14161,en,2012,45.274225,2009-10-10,769653595,158.0,2012,5.6,4903,Action_Adventure_Science Fiction
200000000,17979,en,A Christmas Carol,39.744242,2009-11-04,325233863,96.0,A Christmas Carol,6.6,1095,Animation_Drama
176000003,76757,en,Jupiter Ascending,85.36908,2015-02-04,183987723,124.0,Jupiter Ascending,5.2,2768,Science Fiction_Fantasy_Action_Adventure
180000000,258489,en,The Legend of Tarzan,42.741719,2016-06-29,356743061,109.0,The Legend of Tarzan,5.5,2430,Action_Adventure
180000000,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Adventure_Family_Fantasy
178000000,246655,en,X-Men: Apocalypse,139.272042,2016-05-18,543934787,144.0,X-Men: Apocalypse,6.4,4721,Science Fiction
185000000,155,en,The Dark Knight,187.322927,2008-07-16,1004558444,152.0,The Dark Knight,8.2,12002,Drama_Action_Crime_Thriller
175000000,14160,en,Up,92.201962,2009-05-13,735099082,96.0,Up,7.7,6870,Animation_Comedy_Family_Adventure
175000000,15512,en,Monsters vs Aliens,36.167578,2009-03-19,381509870,94.0,Monsters vs Aliens,6.0,1423,Animation_Family_Adventure_Science Fiction
140000000,1726,en,Iron Man,120.725053,2008-04-30,585174222,126.0,Iron Man,7.4,8776,Action_Science Fiction_Adventure
170000000,44826,en,Hugo,32.319043,2011-11-22,185770160,126.0,Hugo,7.0,2141,Adventure_Drama_Family
170000000,8487,en,Wild Wild West,40.748915,1999-06-29,222104681,106.0,Wild Wild West,5.1,1020,Action_Adventure_Comedy_Science Fiction_Western
145000000,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Adventure_Action_Fantasy
175000000,297761,en,Suicide Squad,90.23792,2016-08-02,745000000,123.0,Suicide Squad,5.9,7458,Action_Adventure_Crime_Fantasy_Science Fiction
175000000,2698,en,Evan Almighty,27.082182,2007-06-09,173000000,96.0,Evan Almighty,5.3,1151,Fantasy_Comedy_Family
178000000,137113,en,Edge of Tomorrow,79.456485,2014-05-27,370541256,113.0,Edge of Tomorrow,7.6,4858,Action_Science Fiction
175000000,9804,en,Waterworld,44.640292,1995-07-28,264218220,135.0,Waterworld,5.9,992,Adventure_Action
175000000,14869,en,G.I. Joe: The Rise of Cobra,32.852443,2009-08-04,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,Adventure_Action_Thriller_Science Fiction
175000000,150540,en,Inside Out,128.655964,2015-06-09,857611174,94.0,Inside Out,8.0,6560,Drama_Comedy_Animation_Family
175000000,278927,en,The Jungle Book,94.199316,2016-04-07,966550600,106.0,The Jungle Book,6.7,2892,Family_Adventure_Drama_Fantasy
200000000,10138,en,Iron Man 2,77.300194,2010-04-28,623933331,124.0,Iron Man 2,6.6,6849,Adventure_Action_Science Fiction
170000000,58595,en,Snow White and the Huntsman,77.178973,2012-05-30,396600000,127.0,Snow White and the Huntsman,5.8,3118,Adventure_Fantasy_Drama
180000000,102651,en,Maleficent,110.620647,2014-05-28,758539785,97.0,Maleficent,7.0,4496,Fantasy_Adventure_Action_Family_Romance
170000000,119450,en,Dawn of the Planet of the Apes,243.791743,2014-06-26,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,Science Fiction_Action_Drama_Thriller
27000000,79698,en,The Lovers,2.418535,2015-02-13,0,109.0,The Lovers,4.8,34,Action_Adventure_Science Fiction_Romance
175000000,64686,en,47 Ronin,41.796339,2013-12-06,150962475,119.0,47 Ronin,5.9,1326,Drama_Action_Adventure_Fantasy
170000000,100402,en,Captain America: The Winter Soldier,72.225265,2014-03-20,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,Action_Adventure_Science Fiction
165000000,10192,en,Shrek Forever After,44.041186,2010-05-16,752600867,93.0,Shrek Forever After,6.0,1959,Comedy_Adventure_Fantasy_Animation_Family
190000000,158852,en,Tomorrowland,130.311355,2015-05-19,209154322,130.0,Tomorrowland,6.2,2846,Adventure_Family_Mystery_Science Fiction
165000000,177572,en,Big Hero 6,203.73459,2014-10-24,652105443,102.0,Big Hero 6,7.8,6135,Adventure_Family_Animation_Action_Comedy
165000000,82690,en,Wreck-It Ralph,62.341073,2012-11-01,471222889,108.0,Wreck-It Ralph,7.1,4570,Family_Animation_Comedy_Adventure
165000000,5255,en,The Polar Express,47.323228,2004-11-10,305875730,100.0,The Polar Express,6.4,1474,Adventure_Animation_Family_Fantasy
165000000,47933,en,Independence Day: Resurgence,48.775723,2016-06-22,389681935,120.0,Independence Day: Resurgence,4.9,2491,Action_Adventure_Science Fiction
165000000,10191,en,How to Train Your Dragon,67.263269,2010-03-05,494878759,98.0,How to Train Your Dragon,7.5,4227,Fantasy_Adventure_Animation_Family
200000000,296,en,Terminator 3: Rise of the Machines,69.405188,2003-07-02,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,Action_Thriller_Science Fiction
170000000,118340,en,Guardians of the Galaxy,481.098624,2014-07-30,773328629,121.0,Guardians of the Galaxy,7.9,9742,Action_Science Fiction_Adventure
165000000,157336,en,Interstellar,724.247784,2014-11-05,675120017,169.0,Interstellar,8.1,10867,Adventure_Drama_Science Fiction
160000000,27205,en,Inception,167.58371,2010-07-14,825532764,148.0,Inception,8.1,13752,Action_Thriller_Science Fiction_Mystery_Adventure
15000000,315011,ja,シン・ゴジラ,9.476999,2016-07-29,77000000,120.0,Shin Godzilla,6.5,143,Action_Adventure_Drama_Horror_Science Fiction
250000000,49051,en,The Hobbit: An Unexpected Journey,108.849621,2012-11-26,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,Adventure_Fantasy_Action
38000000,9799,en,The Fast and the Furious,6.909942,2001-06-22,207283925,106.0,The Fast and the Furious,6.6,3428,Action_Crime_Thriller
150000000,4922,en,The Curious Case of Benjamin Button,60.269279,2008-11-24,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,Fantasy_Drama_Thriller_Mystery_Romance
160000000,49538,en,X-Men: First Class,3.195174,2011-05-24,353624124,132.0,X-Men: First Class,7.1,5181,Action_Science Fiction_Adventure
160000000,131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,2015-11-18,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,Action_Adventure_Science Fiction
150000000,27022,en,The Sorcerer's Apprentice,35.580815,2010-07-13,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,Fantasy_Adventure_Action_Comedy_Drama
160000000,503,en,Poseidon,21.133748,2006-05-12,181674817,99.0,Poseidon,5.5,583,Adventure_Action_Drama_Thriller
170000000,241259,en,Alice Through the Looking Glass,56.268916,2016-05-25,299370084,113.0,Alice Through the Looking Glass,6.5,1725,Fantasy
160000000,810,en,Shrek the Third,42.986467,2007-05-17,798958165,93.0,Shrek the Third,6.0,2278,Fantasy_Adventure_Animation_Comedy_Family
160000000,68735,en,Warcraft,63.148529,2016-05-25,433677183,123.0,Warcraft,6.3,2268,Action_Adventure_Fantasy
155000000,87101,en,Terminator Genisys,202.042635,2015-06-23,440603537,126.0,Terminator Genisys,5.8,3631,Science Fiction_Action_Thriller_Adventure
155000000,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,2010-08-13,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Adventure_Family_Fantasy
140000000,676,en,Pearl Harbor,34.20669,2001-05-21,449220945,183.0,Pearl Harbor,6.6,1791,History_Romance_War
150000000,1858,en,Transformers,25.468493,2007-06-27,709709780,144.0,Transformers,6.6,4040,Adventure_Science Fiction_Action
155000000,1966,en,Alexander,39.019229,2004-11-21,167298192,175.0,Alexander,5.6,927,War_History_Action_Adventure_Drama_Romance
150000000,675,en,Harry Potter and the Order of the Phoenix,78.144395,2007-06-28,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,Adventure_Fantasy_Family_Mystery
150000000,674,en,Harry Potter and the Goblet of Fire,101.250416,2005-11-05,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,Adventure_Fantasy_Family
150000000,8960,en,Hancock,56.758411,2008-07-01,624029371,92.0,Hancock,6.2,2961,Fantasy_Action
150000000,6479,en,I Am Legend,70.867401,2007-12-14,585349010,101.0,I Am Legend,6.9,4853,Drama_Horror_Action_Thriller_Science Fiction
150000000,118,en,Charlie and the Chocolate Factory,53.905592,2005-07-13,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,Adventure_Comedy_Family_Fantasy
150000000,2062,en,Ratatouille,65.677399,2007-06-22,623722818,111.0,Ratatouille,7.5,4369,Animation_Comedy_Family_Fantasy
150000000,272,en,Batman Begins,115.040024,2005-06-10,374218673,140.0,Batman Begins,7.5,7359,Action_Crime_Drama
150000000,10527,en,Madagascar: Escape 2 Africa,44.141021,2008-10-30,603900354,89.0,Madagascar: Escape 2 Africa,6.2,1810,Family_Animation
150000000,18360,en,Night at the Museum: Battle of the Smithsonian,81.781591,2009-05-20,413106170,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,Adventure_Fantasy_Action_Comedy_Family
150000000,2080,en,X-Men Origins: Wolverine,5.954334,2009-04-28,373062864,107.0,X-Men Origins: Wolverine,6.2,4021,Adventure_Action_Thriller_Science Fiction
150000000,605,en,The Matrix Revolutions,73.313918,2003-11-05,424988211,129.0,The Matrix Revolutions,6.4,3096,Adventure_Action_Thriller_Science Fiction
150000000,109445,en,Frozen,165.125366,2013-11-27,1274219009,102.0,Frozen,7.3,5295,Animation_Adventure_Family
150000000,604,en,The Matrix Reloaded,70.78591,2003-05-15,738599701,138.0,The Matrix Reloaded,6.7,3443,Adventure_Action_Thriller_Science Fiction
170000000,76338,en,Thor: The Dark World,99.499595,2013-10-29,644571402,112.0,Thor: The Dark World,6.8,4755,Action_Adventure_Fantasy
150000000,76341,en,Mad Max: Fury Road,434.278564,2015-05-13,378858340,120.0,Mad Max: Fury Road,7.2,9427,Action_Adventure_Science Fiction_Thriller
150000000,13448,en,Angels & Demons,67.447636,2009-05-13,356613439,138.0,Angels & Demons,6.5,2129,Thriller_Mystery
150000000,10195,en,Thor,86.493424,2011-04-21,449326618,115.0,Thor,6.6,6525,Adventure_Fantasy_Action
150000000,13053,en,Bolt,41.845878,2008-11-21,309979994,98.0,Bolt,6.3,1750,Animation_Family_Adventure_Comedy
150000000,19585,en,G-Force,26.710398,2009-07-21,292817841,88.0,G-Force,5.1,510,Fantasy_Action_Adventure_Family_Comedy
150000000,57165,en,Wrath of the Titans,44.927635,2012-03-27,301000000,99.0,Wrath of the Titans,5.5,1431,Adventure
150000000,62213,en,Dark Shadows,50.306728,2012-05-08,245527149,113.0,Dark Shadows,5.7,2320,Comedy_Fantasy
150000000,177677,en,Mission: Impossible - Rogue Nation,114.522237,2015-07-23,682330139,131.0,Mission: Impossible - Rogue Nation,7.1,3224,Action_Adventure_Thriller
150000000,7978,en,The Wolfman,21.214571,2010-02-11,0,102.0,The Wolfman,5.5,549,Drama_Horror_Thriller
150000000,5559,en,Bee Movie,29.332905,2007-10-28,287594577,91.0,Bee Movie,5.7,1171,Family_Animation_Adventure_Comedy
150000000,49444,en,Kung Fu Panda 2,51.247321,2011-05-25,665692281,91.0,Kung Fu Panda 2,6.7,1880,Animation_Family
150000000,10196,en,The Last Airbender,33.769336,2010-06-30,318502923,103.0,The Last Airbender,4.7,1151,Action_Adventure_Family_Fantasy
150000000,956,en,Mission: Impossible III,63.079003,2006-05-03,397850012,126.0,Mission: Impossible III,6.5,2028,Adventure_Action_Thriller
150000000,117251,en,White House Down,39.004588,2013-06-27,205366737,131.0,White House Down,6.4,1891,Action_Drama_Thriller
150000000,50321,en,Mars Needs Moms,12.362599,2011-03-09,38992758,88.0,Mars Needs Moms,5.5,199,Adventure_Animation_Family
149000000,11619,en,Flushed Away,22.550135,2006-10-22,64459316,85.0,Flushed Away,6.0,874,Adventure_Animation_Comedy_Family
150000000,266647,en,Pan,48.03528,2015-09-24,128388320,111.0,Pan,5.9,954,Adventure_Family_Fantasy
145000000,82703,en,Mr. Peabody & Sherman,38.73494,2014-02-07,272912430,92.0,Mr. Peabody & Sherman,6.7,843,Animation_Adventure_Family
175000000,652,en,Troy,66.803149,2004-05-13,497409852,163.0,Troy,6.9,2759,Adventure_Drama_War
145000000,80321,en,Madagascar 3: Europe's Most Wanted,44.989192,2012-06-06,746921274,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,Animation_Family
140000000,36669,en,Die Another Day,54.159392,2002-11-17,431971116,133.0,Die Another Day,5.8,1092,Adventure_Action_Thriller
144000000,43074,en,Ghostbusters,66.21806,2016-07-14,229147509,116.0,Ghostbusters,5.3,2142,Action_Fantasy_Comedy
140000000,95,en,Armageddon,58.485967,1998-07-01,553799566,151.0,Armageddon,6.4,2482,Action_Thriller_Science Fiction_Adventure
140000000,608,en,Men in Black II,91.332849,2002-07-03,441818803,88.0,Men in Black II,6.0,3114,Action_Adventure_Comedy_Science Fiction
70000000,2310,en,Beowulf,35.601665,2007-11-05,195735876,115.0,Beowulf,5.5,841,Adventure_Action_Animation
145000000,140300,en,Kung Fu Panda 3,56.747978,2016-01-23,521170825,95.0,Kung Fu Panda 3,6.7,1603,Action_Adventure_Animation_Comedy_Family
145000000,56292,en,Mission: Impossible - Ghost Protocol,77.77477,2011-12-07,694713380,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,Action_Thriller_Adventure
145000000,81188,en,Rise of the Guardians,61.788035,2012-11-21,306941670,97.0,Rise of the Guardians,7.1,1922,Fantasy_Animation_Family
100000000,7552,en,Fun with Dick and Jane,25.159168,2005-12-21,202026112,90.0,Fun with Dick and Jane,5.9,627,Comedy
140000000,616,en,The Last Samurai,52.341226,2003-12-05,456758981,154.0,The Last Samurai,7.3,1895,Drama_Action_War_History
140000000,147441,en,Exodus: Gods and Kings,101.599427,2014-12-03,268031828,150.0,Exodus: Gods and Kings,5.6,1921,Adventure_Drama_Action
150000000,13475,en,Star Trek,73.616808,2009-05-06,385680446,127.0,Star Trek,7.4,4518,Science Fiction_Action_Adventure
139000000,557,en,Spider-Man,82.502566,2002-05-01,821708551,121.0,Spider-Man,6.8,5265,Fantasy_Action
145000000,82702,en,How to Train Your Dragon 2,100.21391,2014-06-12,609123048,102.0,How to Train Your Dragon 2,7.6,3106,Fantasy_Action_Adventure_Animation_Comedy_Family
140000000,205584,en,Gods of Egypt,56.257249,2016-02-25,150680864,127.0,Gods of Egypt,5.3,1277,Fantasy
135000000,10048,en,Stealth,17.88953,2005-07-28,76932943,121.0,Stealth,4.9,331,Action
130000000,13183,en,Watchmen,64.798873,2009-03-05,185258983,163.0,Watchmen,7.0,2811,Action_Mystery_Science Fiction
140000000,944,en,Lethal Weapon 4,24.855701,1998-07-10,285444603,127.0,Lethal Weapon 4,6.3,767,Action_Adventure_Comedy_Crime_Thriller
137000000,1927,en,Hulk,34.981698,2003-06-19,245360480,138.0,Hulk,5.3,1533,Drama_Action_Science Fiction
130000000,72559,en,G.I. Joe: Retaliation,59.325589,2013-03-26,371876278,110.0,G.I. Joe: Retaliation,5.4,3025,Adventure_Action_Science Fiction_Thriller
130000000,7364,en,Sahara,21.605568,2005-04-06,119269486,124.0,Sahara,5.7,434,Action_Adventure_Comedy_Drama_Mystery
137000000,2114,en,Final Fantasy: The Spirits Within,26.074908,2001-07-02,85131830,106.0,Final Fantasy: The Spirits Within,5.9,433,Adventure_Action_Animation_Fantasy_Science Fiction_Thriller
140000000,1771,en,Captain America: The First Avenger,74.506246,2011-07-22,370569774,124.0,Captain America: The First Avenger,6.6,7047,Action_Adventure_Science Fiction
135000000,36643,en,The World Is Not Enough,39.604363,1999-11-08,361832400,128.0,The World Is Not Enough,6.0,862,Adventure_Action_Thriller
150000000,8619,en,Master and Commander: The Far Side of the World,36.973031,2003-11-14,212011111,138.0,Master and Commander: The Far Side of the World,6.9,790,Adventure
120000000,50620,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,2012-11-13,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,Adventure_Fantasy_Drama_Romance
130000000,65759,en,Happy Feet Two,17.7735,2011-11-17,150406466,100.0,Happy Feet Two,5.8,373,Animation_Comedy_Family
150000000,1724,en,The Incredible Hulk,62.898336,2008-06-12,163712074,114.0,The Incredible Hulk,6.1,3021,Science Fiction_Action_Adventure
140000000,267935,en,The BFG,44.19092,2016-06-01,183345589,120.0,The BFG,6.0,1000,Adventure_Family_Fantasy
135000000,281957,en,The Revenant,100.635882,2015-12-25,532950503,156.0,The Revenant,7.3,6396,Western_Drama_Adventure_Thriller
135000000,77950,en,Turbo,44.765377,2013-07-11,282570682,96.0,Turbo,6.1,1074,Animation_Family
135000000,44896,en,Rango,29.91353,2011-03-02,245724603,107.0,Rango,6.6,2051,Animation_Comedy_Family_Western_Adventure
132000000,270946,en,Penguins of Madagascar,84.366984,2014-11-22,373552094,92.0,Penguins of Madagascar,6.5,1346,Family_Animation_Adventure_Comedy
70000000,2503,en,The Bourne Ultimatum,45.381501,2007-08-03,442824138,115.0,The Bourne Ultimatum,7.3,2888,Action_Drama_Mystery_Thriller
130000000,9502,en,Kung Fu Panda,84.689648,2008-06-04,631744560,90.0,Kung Fu Panda,6.9,3145,Adventure_Animation_Family_Comedy
130000000,102899,en,Ant-Man,120.09361,2015-07-14,519311965,117.0,Ant-Man,7.0,5880,Science Fiction_Action_Adventure
130000000,101299,en,The Hunger Games: Catching Fire,76.310119,2013-11-15,847423452,146.0,The Hunger Games: Catching Fire,7.4,6495,Adventure_Action_Science Fiction
135000000,228161,en,Home,63.473086,2015-03-18,368871007,94.0,Home,6.8,1519,Fantasy_Comedy_Animation_Science Fiction_Family
132000000,74,en,War of the Worlds,48.572726,2005-06-28,591739379,116.0,War of the Worlds,6.2,2322,Adventure_Thriller_Science Fiction
130000000,8961,en,Bad Boys II,38.068736,2003-07-18,273339556,147.0,Bad Boys II,6.3,1564,Adventure_Action_Comedy_Thriller_Crime
130000000,417859,en,Puss in Boots,20.678787,2011-10-28,554987477,90.0,Puss in Boots,6.4,451,Action_Adventure_Animation_Family_Fantasy
110000000,27576,en,Salt,48.829437,2010-07-21,293329073,100.0,Salt,6.2,2093,Action_Mystery_Thriller
125000000,86834,en,Noah,46.115758,2014-03-20,362637473,139.0,Noah,5.6,2350,Drama_Adventure
130000000,17578,en,The Adventures of Tintin,89.938296,2011-10-25,371940071,107.0,The Adventures of Tintin,6.7,2061,Adventure_Animation_Mystery
130000000,673,en,Harry Potter and the Prisoner of Azkaban,79.679601,2004-05-31,789804554,141.0,Harry Potter and the Prisoner of Azkaban,7.7,5877,Adventure_Fantasy_Family
130000000,6972,en,Australia,28.840997,2008-11-18,49554002,165.0,Australia,6.3,694,Drama
130000000,82700,en,After Earth,42.840582,2013-05-30,243843127,100.0,After Earth,5.0,2532,Science Fiction_Action_Adventure
127500000,10567,en,Dinosaur,26.548594,2000-05-19,354248063,82.0,Dinosaur,6.2,542,Animation_Family
